wavelength,intensity
656.47,1.9295e+13
656.79,1.8504e+13
657.12,1.8504e+13
657.44,2.1055e+13
657.77,2.1055e+13
658.09,1.9083e+13
658.41,2.1055e+13
658.74,2.0563e+13
659.06,2.0563e+13
659.39,1.8157e+13
659.71,1.7578e+13
660.03,1.7319e+13
660.36,1.7319e+13
660.68,1.6864e+13
661.01,1.7267e+13
661.33,1.5949e+13
661.65,1.5949e+13
661.98,1.7267e+13
662.3,1.6385e+13
662.63,1.7495e+13
662.95,1.7495e+13
663.27,1.7495e+13
663.6,1.7495e+13
663.92,1.8245e+13
664.24,1.7068e+13
664.57,1.8245e+13
664.89,1.8585e+13
665.21,1.8188e+13
665.54,1.8188e+13
665.86,1.6334e+13
666.18,1.6334e+13
666.51,1.5389e+13
666.83,1.2473e+13
667.15,1.1409e+13
667.47,1.2473e+13
667.8,1.2473e+13
668.12,1.2473e+13
668.44,1.2473e+13
668.77,1.2547e+13
669.09,1.4138e+13
669.41,1.5923e+13
669.73,1.5923e+13
670.06,1.7193e+13
670.38,1.8193e+13
670.7,1.7193e+13
671.02,1.5923e+13
671.35,1.4138e+13
671.67,1.3083e+13
671.99,1.3677e+13
672.31,1.189e+13
672.63,1.189e+13
672.96,1.2866e+13
673.28,1.189e+13
673.6,1.189e+13
673.92,1.189e+13
674.24,1.1018e+13
674.57,1.1994e+13
674.89,1.1994e+13
675.21,1.1866e+13
675.53,1.2982e+13
675.85,1.1866e+13
676.17,1.0399e+13
676.5,1.1386e+13
676.82,1.1386e+13
677.14,1.1386e+13
677.46,1.3168e+13
677.78,1.0327e+13
678.1,1.1365e+13
678.42,8.8808e+12
678.75,8.4031e+12
679.07,9.3974e+12
679.39,1.1678e+13
679.71,9.3974e+12
680.03,9.3974e+12
680.35,9.3974e+12
680.67,8.7888e+12
680.99,8.7888e+12
681.31,8.7888e+12
681.63,8.7888e+12
681.96,9.7277e+12
682.28,9.7277e+12
682.6,9.7277e+12
682.92,9.7277e+12
683.24,8.6445e+12
683.56,8.6445e+12
683.88,8.3262e+12
684.2,7.4678e+12
684.52,6.0331e+12
684.84,4.9088e+12
685.16,2.4259e+12
685.48,2.4259e+12
685.8,2.4259e+12
686.12,4.9088e+12
686.44,5.1801e+12
686.76,5.1801e+12
687.08,6.8183e+12
687.4,4.5954e+12
687.72,5.2672e+12
688.04,5.2672e+12
688.36,7.661e+12
688.68,6.0651e+12
689,4.0001e+12
689.32,2.5304e+12
689.64,2.5304e+12
689.96,4.0001e+12
690.28,3.1868e+12
690.6,4.0001e+12
690.92,7.486e+12
691.24,1.0912e+13
691.56,7.486e+12
691.88,9.7505e+12
692.19,1.0912e+13
692.51,1.2094e+13
692.83,1.2588e+13
693.15,1.3117e+13
693.47,1.3117e+13
693.79,1.3117e+13
694.11,1.3117e+13
694.43,1.3117e+13
694.75,1.3117e+13
695.06,1.3117e+13
695.38,1.1376e+13
695.7,8.4457e+12
696.02,8.4457e+12
696.34,8.4457e+12
696.66,8.8298e+12
696.98,8.8298e+12
697.29,6.7827e+12
697.61,6.7827e+12
697.93,6.7827e+12
698.25,9.9333e+12
698.57,9.9333e+12
698.89,9.9333e+12
699.2,7.6767e+12
699.52,7.6767e+12
699.84,5.4238e+12
700.16,9.4255e+12
700.48,1.4097e+13
700.79,1.0558e+13
701.11,7.9811e+12
701.43,5.4238e+12
701.75,7.9811e+12
702.07,7.9811e+12
702.38,6.8937e+12
702.7,6.8937e+12
703.02,1.0442e+13
703.34,1.0442e+13
703.65,1.0442e+13
703.97,8.2228e+12
704.29,8.2228e+12
704.61,8.2228e+12
704.92,7.8809e+12
705.24,6.112e+12
705.56,6.5511e+12
705.87,1.5756e+12
706.19,4.8513e+11
